Driver,Race,LapNumber,umap_x,umap_y
ALO,2023_Monaco,47.0,-4.3928447,10.18446
ALO,2023_Monaco,48.0,-4.2460723,10.867247
ALO,2023_Monaco,49.0,-4.1049666,10.891382
ALO,2023_Monaco,50.0,-4.588821,10.439377
ALO,2023_Monaco,51.0,-4.439494,10.350657
ALO,2023_Monza,2.0,-3.164286,11.533863
ALO,2023_Monza,3.0,-3.0449219,11.203777
ALO,2023_Monza,4.0,-2.851237,11.89335
ALO,2023_Monza,5.0,-3.0783505,11.432613
ALO,2023_Monza,6.0,-2.8928347,12.016966
ALO,2023_Monza,7.0,-2.9553382,11.266781
ALO,2023_Monza,8.0,-3.2826433,11.46557
ALO,2023_Monza,9.0,-3.554225,11.102775
ALO,2023_Monza,10.0,-3.8601494,10.933652
ALO,2023_Monza,11.0,-3.098322,11.074854
ALO,2023_Monza,12.0,-2.850054,11.914496
ALO,2023_Monza,13.0,-2.7739034,10.694375
ALO,2023_Monza,14.0,-3.4797049,11.162981
ALO,2023_Monza,15.0,-3.712231,10.952076
ALO,2023_Monza,16.0,-3.4776256,11.2091
ALO,2023_Monza,17.0,-3.718334,10.477799
ALO,2023_Monza,18.0,-2.8911607,11.133092
ALO,2023_Monza,19.0,-3.5080657,11.178135
ALO,2023_Monza,20.0,-2.9755068,12.096524
ALO,2023_Monza,23.0,-3.7927535,10.43894
ALO,2023_Monza,24.0,-3.635717,10.632114
ALO,2023_Monza,25.0,-3.934875,11.018741
ALO,2023_Monza,26.0,-4.327155,10.543173
ALO,2023_Monza,27.0,-3.2290428,11.01817
ALO,2023_Monza,28.0,-3.4539087,11.536313
ALO,2023_Monza,29.0,-3.001418,11.314899
ALO,2023_Monza,30.0,-3.4765413,11.498378
ALO,2023_Monza,31.0,-3.5014055,10.515093
ALO,2023_Monza,32.0,-3.6484113,11.255012
ALO,2023_Monza,33.0,-4.078474,10.463525
ALO,2023_Monza,34.0,-3.6217027,11.233283
ALO,2023_Monza,35.0,-3.4693017,11.15541
ALO,2023_Monza,36.0,-3.48981,11.125035
ALO,2023_Monza,37.0,-3.2548912,10.924482
ALO,2023_Monza,38.0,-3.396027,11.10119
ALO,2023_Monza,39.0,-3.779708,11.173887
ALO,2023_Monza,40.0,-3.7349303,10.922523
ALO,2023_Monza,41.0,-3.5741754,11.473427
ALO,2023_Monza,42.0,-4.731366,11.4025
ALO,2023_Monza,43.0,-3.4837444,11.501757
ALO,2023_Monza,44.0,-4.0726056,10.460683
ALO,2023_Monza,45.0,-4.1527877,10.818882
ALO,2023_Monza,46.0,-3.418452,11.07635
ALO,2023_Monza,47.0,-2.8450625,11.654691
ALO,2023_Monza,48.0,-3.2616315,11.303579
ALO,2023_Monza,49.0,-2.9959445,11.294904
ALO,2023_Monza,50.0,-3.1616032,11.213095
ALO,2023_Monza,51.0,-2.4552522,10.400634
ALO,2023_Silverstone,2.0,-3.692894,12.727038
ALO,2023_Silverstone,3.0,-3.9434516,11.887644
ALO,2023_Silverstone,4.0,-4.4877405,12.7639
ALO,2023_Silverstone,5.0,-4.2746124,12.3251915
ALO,2023_Silverstone,6.0,-4.2923727,13.227333
ALO,2023_Silverstone,7.0,-4.5116596,12.039805
ALO,2023_Silverstone,8.0,-4.1811156,11.091176
ALO,2023_Silverstone,9.0,-3.1706336,11.463591
ALO,2023_Silverstone,10.0,-4.611539,10.5038395
ALO,2023_Silverstone,11.0,-5.5073385,12.419395
ALO,2023_Silverstone,12.0,-4.854824,11.612522
ALO,2023_Silverstone,13.0,-4.601336,11.705581
ALO,2023_Silverstone,14.0,-5.021992,12.520486
ALO,2023_Silverstone,15.0,-4.602719,11.04787
ALO,2023_Silverstone,16.0,-4.424701,11.036839
ALO,2023_Silverstone,17.0,-4.6094904,11.525646
ALO,2023_Silverstone,18.0,-4.4253907,11.189412
ALO,2023_Silverstone,19.0,-4.635512,11.967615
ALO,2023_Silverstone,20.0,-5.4119205,12.254943
ALO,2023_Silverstone,21.0,-5.440381,12.295312
ALO,2023_Silverstone,22.0,-4.416118,11.166245
ALO,2023_Silverstone,23.0,-4.702361,10.5525255
ALO,2023_Silverstone,24.0,-4.516216,10.420262
ALO,2023_Silverstone,25.0,-4.950263,11.424336
ALO,2023_Silverstone,26.0,-5.483545,12.29156
ALO,2023_Silverstone,27.0,-5.0523996,11.973991
ALO,2023_Silverstone,28.0,-4.2955055,11.076573
ALO,2023_Silverstone,29.0,-5.1391497,11.689529
ALO,2023_Silverstone,30.0,-4.446598,11.107981
ALO,2023_Silverstone,31.0,-4.9346147,11.249623
ALO,2023_Silverstone,39.0,-4.37237,10.154193
ALO,2023_Silverstone,40.0,-5.047619,11.338297
ALO,2023_Silverstone,41.0,-4.615657,11.671123
ALO,2023_Silverstone,42.0,-4.4689636,11.78072
ALO,2023_Silverstone,43.0,-5.094428,11.862893
ALO,2023_Silverstone,44.0,-5.3285804,12.066251
ALO,2023_Silverstone,45.0,-4.2417274,10.905695
ALO,2023_Silverstone,46.0,-4.5140433,10.897891
ALO,2023_Silverstone,47.0,-3.187789,11.039097
ALO,2023_Silverstone,48.0,-4.20167,11.51408
ALO,2023_Silverstone,49.0,-5.0962334,11.9249935
ALO,2023_Silverstone,50.0,-5.082115,11.267308
ALO,2023_Silverstone,51.0,-4.8752804,12.12012
ALO,2023_Silverstone,52.0,-3.4816427,11.183734
ALO,2023_Singapore,2.0,-6.3982296,12.736152
ALO,2023_Singapore,3.0,-5.100036,12.989456
ALO,2023_Singapore,4.0,-5.1986556,12.59135
ALO,2023_Singapore,5.0,-5.0012484,12.971476
ALO,2023_Singapore,6.0,-4.1846533,13.268335
ALO,2023_Singapore,7.0,-5.241917,13.058511
ALO,2023_Singapore,8.0,-6.4862876,12.853293
ALO,2023_Singapore,9.0,-6.012958,12.819005
ALO,2023_Singapore,10.0,-5.871417,13.140835
ALO,2023_Singapore,11.0,-4.5010786,12.62462
ALO,2023_Singapore,12.0,-6.096448,13.252424
ALO,2023_Singapore,13.0,-5.309978,13.048163
ALO,2023_Singapore,14.0,-5.1693134,12.597985
ALO,2023_Singapore,15.0,-5.9870048,13.185941
ALO,2023_Singapore,16.0,-6.221293,13.025137
ALO,2023_Singapore,17.0,-5.933045,13.209023
ALO,2023_Singapore,18.0,-5.0437384,13.047086
ALO,2023_Singapore,19.0,-5.10146,12.929751
ALO,2023_Singapore,24.0,-4.398222,13.397289
ALO,2023_Singapore,25.0,-5.1903076,12.585822
ALO,2023_Singapore,26.0,-4.873726,13.220326
ALO,2023_Singapore,27.0,-4.903532,12.917195
ALO,2023_Singapore,28.0,-4.189932,12.291892
ALO,2023_Singapore,29.0,-4.007639,12.639091
ALO,2023_Singapore,30.0,-5.403714,12.581811
ALO,2023_Singapore,31.0,-5.5276446,12.58774
ALO,2023_Singapore,32.0,-5.869914,12.781237
ALO,2023_Singapore,33.0,-5.1324687,12.653729
ALO,2023_Singapore,34.0,-5.054818,12.94268
ALO,2023_Singapore,35.0,-4.587441,13.393432
ALO,2023_Singapore,36.0,-5.9018354,13.106541
ALO,2023_Singapore,38.0,-3.4765127,12.841907
ALO,2023_Singapore,39.0,-4.3886323,12.456817
ALO,2023_Singapore,40.0,-4.012439,12.692754
ALO,2023_Singapore,41.0,-4.1897664,12.52857
ALO,2023_Singapore,42.0,-5.272821,13.022861
ALO,2023_Singapore,47.0,-6.364261,13.331089
ALO,2023_Singapore,48.0,-5.9155636,12.609411
ALO,2023_Singapore,49.0,-5.920632,12.725262
ALO,2023_Singapore,50.0,-5.937257,12.659763
ALO,2023_Singapore,51.0,-5.7757187,12.717663
ALO,2023_Singapore,52.0,-5.9575295,12.729128
ALO,2023_Singapore,53.0,-5.944979,12.706732
ALO,2023_Singapore,54.0,-5.88848,12.689278
ALO,2023_Singapore,55.0,-6.466969,13.03884
ALO,2023_Singapore,56.0,-5.511938,12.399448
ALO,2023_Singapore,57.0,-6.602896,13.0760355
ALO,2023_Singapore,58.0,-5.935453,12.975276
ALO,2023_Singapore,59.0,-4.8465214,13.081088
ALO,2023_Singapore,60.0,-5.002987,13.322867
ALO,2023_Singapore,61.0,-3.9528456,13.21721
