epoch,train_loss,train_acc,val_loss,val_acc
1,1.3025184428944758,0.5771762984637894,1.068546642672341,0.5990566037735849
2,0.5527440261561765,0.880760790051207,0.7354763832013562,0.714622641509434
3,0.2862055395193665,0.9392831016825165,1.2726664063257147,0.6202830188679245
4,0.1711964781212824,0.9619604974396488,0.4311911974998437,0.8596698113207547
5,0.12085153322991177,0.9729334308705194,0.45460375842093576,0.8537735849056604
6,0.08883753899503949,0.9802487198244331,0.6418036987894118,0.7676886792452831
7,0.0877209414224513,0.9795171909290417,0.5116736828873949,0.8195754716981132
8,0.05419647509140871,0.9912216532553035,1.2981301132251315,0.6650943396226415
9,0.06104337043335338,0.9839063643013899,0.2857397001267977,0.9186320754716981
10,0.05466407213711617,0.9857351865398684,0.4848962136816655,0.8337264150943396
11,0.06564763283197603,0.979151426481346,0.4054547701753623,0.8584905660377359
12,0.04214027276550145,0.9882955376737381,0.31412188785907347,0.8891509433962265
13,0.043650218282213764,0.9868324798829554,0.6015462268688628,0.8054245283018868
14,0.04760880793370552,0.9871982443306511,0.2368344984240808,0.9422169811320755
15,0.043402703341311924,0.9871982443306511,0.6276621968177354,0.7735849056603774
16,0.0335350349687187,0.9904901243599122,0.6349524742207141,0.875
17,0.02965123834253317,0.9934162399414777,0.8305730423154908,0.7889150943396226
18,0.023141130512061132,0.993050475493782,1.7830133507036565,0.6580188679245284
19,0.04015448448556832,0.9879297732260425,0.9334367556868018,0.7841981132075472
20,0.027156024236550887,0.9923189465983906,0.20690269684531307,0.9375
21,0.024183509776664416,0.9952450621799561,0.5482784675894438,0.8702830188679245
22,0.025282405504184258,0.993050475493782,1.6656894650761114,0.6214622641509434
23,0.028111456027806306,0.9923189465983906,0.9500220993090378,0.7558962264150944
24,0.02166498369580215,0.9945135332845647,0.5835504574854053,0.8466981132075472
25,0.020645865701968785,0.9948792977322605,0.2654717677280544,0.9268867924528302
26,0.013038706524737367,0.9974396488661302,0.26517858351423096,0.9292452830188679
27,0.013981345715307805,0.9974396488661302,0.2908449100347092,0.9292452830188679
28,0.007453522580214548,0.9992684711046086,0.3190748431560644,0.9198113207547169
29,0.007264022510662271,0.9989027066569129,0.18344611140409536,0.9410377358490566
