epoch,train_loss,val_knn_acc
1,2.8739470882075175,0.8596698113207547
2,2.2943030510629927,0.9068396226415094
3,2.2002184007849013,0.9257075471698113
4,2.162676304578781,0.9433962264150944
5,2.1086669777120863,0.9351415094339622
6,2.134035608598164,0.9363207547169812
7,2.0905769722802297,0.9575471698113207
8,2.1039948697601045,0.9233490566037735
9,2.0906679374831065,0.9139150943396226
10,2.0658481355224336,0.9693396226415094
11,2.039788382393973,0.9599056603773585
12,2.0487142503261566,0.9221698113207547
13,2.0444198357207433,0.9587264150943396
14,2.0196670166083743,0.964622641509434
15,2.0453387818166187,0.9563679245283019
16,2.0188006907701492,0.9457547169811321
17,2.0308689368622646,0.9422169811320755
18,2.0118830565895354,0.9492924528301887
19,2.0097536934273585,0.9622641509433962
20,2.001897011484419,0.9764150943396226
21,1.9949389376810618,0.9575471698113207
22,1.996498669896807,0.9386792452830188
23,2.0241399130650928,0.9634433962264151
24,2.0244244017771313,0.9705188679245284
25,1.9979014205081123,0.9775943396226415
26,2.0076549159629002,0.9516509433962265
27,2.016184151172638,0.9587264150943396
28,1.9822210307632173,0.9752358490566038
29,1.976443465266909,0.9658018867924528
30,1.9750556945800781,0.9764150943396226
31,1.9739715393100465,0.9599056603773585
32,1.9744174033403397,0.9622641509433962
33,1.9714664731706892,0.9693396226415094
34,1.9712229009185518,0.9669811320754716
35,1.9727824245180403,0.964622641509434
36,1.970352556024279,0.9587264150943396
37,1.9694263296467918,0.9669811320754716
38,1.9674710141760963,0.9669811320754716
39,1.9679607514824187,0.9705188679245284
40,1.969830953649112,0.9787735849056604
41,1.9676755624158042,0.972877358490566
42,1.9664047679730825,0.9705188679245284
43,1.966390956725393,0.9634433962264151
44,1.966453920517649,0.9658018867924528
45,1.9643243082932063,0.9622641509433962
46,1.9644816390105657,0.9634433962264151
47,1.9641011761767524,0.9599056603773585
48,1.9635167526347297,0.9634433962264151
49,1.9654792568513326,0.9693396226415094
50,1.965699966464724,0.9658018867924528
51,1.9631047717162542,0.9634433962264151
52,1.9632882944175176,0.9658018867924528
53,1.964786416717938,0.9787735849056604
54,1.963600897363254,0.9575471698113207
55,1.964761182665825,0.972877358490566
