Driver,LapNumber,LapTime_s,Race,Season,brake_duration_ratio,throttle_smoothness,full_throttle_ratio,coasting_ratio,gear_change_freq,speed_at_throttle_lift,mean_corner_speed,speed_variance,throttle_brake_overlap
ALO,2.0,99.792,Bahrain,2023,0.18940397350993377,2.249336870026525,0.46622516556291393,0.05562913907284768,7.81456953642384,266.43749952,127.29927886287935,65.83520966441822,0.0
ALO,3.0,99.1,Bahrain,2023,0.20133333333333334,2.347129506008011,0.452,0.056,7.199999999999999,283.0,124.6248016819475,67.42466934218645,0.005333333333333333
ALO,4.0,99.548,Bahrain,2023,0.21806451612903227,2.2377260981912146,0.44129032258064516,0.0696774193548387,6.838709677419355,257.44166613333334,129.95465677971748,66.68317919215418,0.02193548387096774
ALO,5.0,99.662,Bahrain,2023,0.19893190921228304,2.3101604278074865,0.4472630173564753,0.06675567423230974,7.076101468624834,268.3261906285714,123.60187388921274,66.70939980349465,0.0
ALO,6.0,99.674,Bahrain,2023,0.21166892808683854,2.3831521739130435,0.46132971506105835,0.03934871099050204,6.648575305291724,269.0,122.75246937689579,66.87837508310882,0.0013568521031207597
ALO,7.0,99.729,Bahrain,2023,0.20974289580514208,2.3143631436314362,0.45331529093369416,0.058186738836265225,6.901217861975644,289.0,122.66132176285542,67.79371190190966,0.008119079837618403
ALO,8.0,99.959,Bahrain,2023,0.2320730117340287,2.31331592689295,0.439374185136897,0.03780964797913951,6.910039113428944,278.20417280000004,125.05149084283417,66.95779071767862,0.027379400260756193
ALO,9.0,100.275,Bahrain,2023,0.19594594594594594,2.351826792963464,0.46621621621621623,0.03918918918918919,7.027027027027027,268.96416618666666,120.82757270028908,68.82526071357688,0.002702702702702703
ALO,10.0,100.203,Bahrain,2023,0.21399730820995963,2.3908355795148246,0.44414535666218036,0.04441453566621804,7.94078061911171,252.62666666666667,123.51802101233505,71.51127299721949,0.0026917900403768506
ALO,11.0,101.147,Bahrain,2023,0.2245430809399478,2.4235294117647057,0.42428198433420367,0.02349869451697128,7.702349869451696,247.8062496,123.95551912726549,71.56429169046797,0.009138381201044387
ALO,12.0,100.934,Bahrain,2023,0.22935779816513763,2.3595800524934383,0.44823066841415465,0.027522935779816515,7.732634338138926,236.5,122.1078266139324,70.87330755984782,0.003931847968545216
ALO,13.0,100.341,Bahrain,2023,0.1984126984126984,2.384105960264901,0.4828042328042328,0.046296296296296294,7.671957671957672,255.10124928,126.8279471418405,70.57693094463222,0.010582010582010581
ALO,14.0,102.212,Bahrain,2023,0.21335078534031413,2.491022280471822,0.47774869109947643,0.028795811518324606,7.460732984293193,244.8432695105953,122.93751485054867,68.75341318355743,0.013089005235602094
ALO,16.0,97.542,Bahrain,2023,0.21875,2.329251700680272,0.49592391304347827,0.024456521739130436,6.25,275.96666367999995,127.02207946983133,66.84619529045469,0.006793478260869565
ALO,17.0,98.139,Bahrain,2023,0.18417462482946795,2.3374013357619914,0.48021828103683495,0.05593451568894952,6.8212824010914055,205.0,122.61786634894884,69.68605580449683,0.0
ALO,18.0,98.124,Bahrain,2023,0.18940397350993377,2.2613026819923374,0.46225165562913906,0.07152317880794702,6.887417218543046,,122.57804037435287,66.95726705368847,0.0013245033112582781
ALO,19.0,98.361,Bahrain,2023,0.20698924731182797,2.3014804845222074,0.4435483870967742,0.056451612903225805,6.854838709677419,264.0878319068783,123.38402208108549,66.83015328766002,0.0
ALO,20.0,98.318,Bahrain,2023,0.1901595744680851,2.2210386151797605,0.46808510638297873,0.05585106382978723,7.047872340425531,247.0,122.72817604157412,67.336247498482,0.0026595744680851063
ALO,21.0,98.407,Bahrain,2023,0.20079787234042554,2.3195739014647137,0.4747340425531915,0.05053191489361702,7.047872340425531,251.37395813333333,122.33246689702113,67.83853020497443,0.0
ALO,22.0,98.2,Bahrain,2023,0.19863945578231293,2.343324250681199,0.4598639455782313,0.047619047619047616,6.938775510204081,271.5,121.30151308385665,67.27252826044366,0.0
ALO,23.0,97.853,Bahrain,2023,0.21517241379310345,2.345303867403315,0.47586206896551725,0.03586206896551724,7.1724137931034475,275.0,124.35815191239955,67.65602209237534,0.004137931034482759
ALO,24.0,97.878,Bahrain,2023,0.19615912208504802,2.269230769230769,0.4828532235939643,0.053497942386831275,7.133058984910837,232.01805546666668,122.16267291881505,68.99119434721716,0.0054869684499314125
ALO,25.0,98.139,Bahrain,2023,0.19973190348525469,2.279194630872483,0.4745308310991957,0.049597855227882036,7.238605898123325,272.2552365104762,122.69582483601657,69.24306982510166,0.012064343163538873
ALO,26.0,98.127,Bahrain,2023,0.19079837618403248,2.330623306233062,0.4749661705006766,0.06359945872801083,7.171853856562922,270.6666666666667,121.44375140474264,68.36649257824334,0.0027063599458728013
ALO,27.0,98.612,Bahrain,2023,0.20293724966622162,2.251336898395722,0.4432576769025367,0.07209612817089453,6.942590120160213,278.13249984,122.81539033362583,67.73741269573856,0.010680907877169559
ALO,28.0,98.199,Bahrain,2023,0.19731543624161074,2.3198924731182795,0.4604026845637584,0.06845637583892618,6.7114093959731544,252.0,121.68539274660762,67.90698628148087,0.0013422818791946308
ALO,29.0,98.585,Bahrain,2023,0.2018842530282638,2.339622641509434,0.4387617765814266,0.05114401076716016,6.864064602960969,,119.89354594672788,69.47009008940329,0.0
ALO,30.0,98.282,Bahrain,2023,0.20318725099601595,2.297872340425532,0.4767596281540505,0.041168658698539175,6.507304116865869,,119.92997531552763,69.22146685536693,0.0026560424966799467
ALO,31.0,98.009,Bahrain,2023,0.1962864721485411,2.353253652058433,0.5119363395225465,0.038461538461538464,6.631299734748011,246.543888342292,121.37175486131805,68.73007128029649,0.003978779840848806
ALO,32.0,97.871,Bahrain,2023,0.18331053351573187,2.3808219178082193,0.5129958960328317,0.04377564979480164,6.703146374829001,259.34000128,122.18494664254497,68.78140421729938,0.0027359781121751026
ALO,33.0,97.769,Bahrain,2023,0.18370165745856354,2.4149377593360994,0.5220994475138122,0.04143646408839779,7.320441988950275,258.65738612363634,122.25042069303139,69.1744519083911,0.0013812154696132596
ALO,34.0,100.353,Bahrain,2023,0.2127107652399481,2.357142857142857,0.4993514915693904,0.0324254215304799,7.003891050583658,231.0,119.78150954774114,70.2268080179774,0.010376134889753566
ALO,36.0,96.156,Bahrain,2023,0.19808743169398907,2.372093023255814,0.51775956284153,0.03551912568306011,6.557377049180328,255.1,122.44063068424333,69.01997941469959,0.001366120218579235
ALO,37.0,97.431,Bahrain,2023,0.21534320323014805,2.4231805929919137,0.49663526244952894,0.039030955585464336,7.671601615074024,284.5,124.4102597176736,72.6401847602638,0.021534320323014805
ALO,38.0,97.002,Bahrain,2023,0.20708446866485014,2.491132332878581,0.49318801089918257,0.04223433242506812,7.629427792915531,252.49583520000002,124.91579072711794,72.40353598818936,0.01907356948228883
ALO,39.0,97.243,Bahrain,2023,0.20385674931129477,2.3917241379310346,0.49173553719008267,0.03856749311294766,6.887052341597796,256.00000355555557,120.45782245649028,68.74992316093771,0.009641873278236915
ALO,40.0,97.208,Bahrain,2023,0.18157181571815717,2.265943012211669,0.47560975609756095,0.06097560975609756,6.775067750677506,,122.26246700946892,68.16453581386976,0.0027100271002710027
ALO,42.0,96.334,Bahrain,2023,0.20166898470097358,2.362116991643454,0.4951321279554937,0.025034770514603615,7.232267037552156,257.18250048,124.2644508105293,68.18787619973759,0.005563282336578581
ALO,43.0,96.911,Bahrain,2023,0.18834688346883469,2.298507462686567,0.516260162601626,0.044715447154471545,7.046070460704606,264.25189991428573,122.45707125375225,68.55713846228592,0.0
ALO,44.0,97.022,Bahrain,2023,0.21016483516483517,2.3576341127922973,0.49038461538461536,0.03708791208791209,7.280219780219781,262.75,123.3739569464446,71.64922576249994,0.013736263736263736
ALO,45.0,97.931,Bahrain,2023,0.21191135734072022,2.7184466019417477,0.502770083102493,0.03185595567867036,7.340720221606649,254.0,122.29750792373413,72.78073449057054,0.01662049861495845
ALO,46.0,97.087,Bahrain,2023,0.18181818181818182,2.4061624649859943,0.5188811188811189,0.039160839160839164,6.853146853146853,245.5,119.92320415659195,68.50915220846336,0.004195804195804196
ALO,47.0,97.326,Bahrain,2023,0.19491525423728814,2.3988684582743987,0.4406779661016949,0.05367231638418079,7.062146892655368,,121.49651249061604,68.65950062904489,0.0
ALO,48.0,96.783,Bahrain,2023,0.18681318681318682,2.297111416781293,0.5013736263736264,0.03983516483516483,7.0054945054945055,274.65555484444445,122.84452607654724,68.2274155115258,0.0
ALO,49.0,96.726,Bahrain,2023,0.17886178861788618,2.2279511533242875,0.532520325203252,0.04742547425474255,7.181571815718158,246.03686503434344,122.85609681024343,68.50077700084142,0.0
ALO,50.0,96.331,Bahrain,2023,0.18207282913165265,2.2945301542777,0.5434173669467787,0.049019607843137254,7.142857142857142,252.3749984,123.86948911785584,68.98509843736687,0.0028011204481792717
ALO,51.0,96.96,Bahrain,2023,0.1859504132231405,2.2841379310344827,0.5165289256198347,0.05234159779614325,7.162534435261708,269.0138903111111,121.6384568177118,69.10072716302439,0.0027548209366391185
ALO,52.0,97.01,Bahrain,2023,0.1953232462173315,2.355371900826446,0.46629986244841815,0.06327372764786796,7.152682255845942,272.3894159893333,119.79966885600354,68.35173337506268,0.0
ALO,53.0,97.01,Bahrain,2023,0.18604651162790697,2.347945205479452,0.4883720930232558,0.05198358413132695,7.250341997264022,264.1406252,119.26824272752198,69.50069686316854,0.0
ALO,54.0,97.599,Bahrain,2023,0.1937669376693767,2.344640434192673,0.4715447154471545,0.051490514905149054,6.775067750677506,255.73125013333333,115.57018419534019,69.83708386360644,0.0
ALO,55.0,97.662,Bahrain,2023,0.18326693227091634,2.3031914893617023,0.44223107569721115,0.07436918990703852,7.171314741035857,274.7875008,121.99221335761834,68.69754364915113,0.0
ALO,56.0,97.473,Bahrain,2023,0.19002695417789758,2.3238866396761133,0.45148247978436656,0.05121293800539083,7.008086253369273,256.0,120.78643605577537,69.02509220998485,0.0026954177897574125
